,Closing Price1,Closing Price2,dif,Ticker
314,59.04,60.76,-1.7199999999999989,LVS
315,55.77,57.49,-1.7199999999999989,GM
316,154.69,156.42,-1.7299999999999898,MAA
317,78.86,80.59,-1.730000000000004,OMC
318,109.03,110.8,-1.769999999999996,ABBV
319,184.07,185.85,-1.7800000000000011,GD
320,70.52,72.3,-1.7800000000000011,HSIC
321,77.09,78.87,-1.7800000000000011,RTX
322,93.75,95.57,-1.8199999999999932,PWR
323,67.3,69.15,-1.8500000000000085,CMA
324,210.2,212.05,-1.8500000000000227,LHX
325,234.06,235.92,-1.8599999999999852,BA
326,113.0,114.86,-1.8599999999999994,FMC
327,217.12,219.0,-1.8799999999999955,IQV
328,100.1,101.98,-1.8800000000000097,LEN
329,107.59,109.48,-1.8900000000000006,WBA
330,158.85,160.75,-1.9000000000000057,BR
331,166.54,168.44,-1.9000000000000057,ALXN
332,109.36,111.27,-1.9099999999999966,CTLT
333,96.02,97.93,-1.9100000000000108,PRU
334,66.9,68.83,-1.9299999999999926,ALK
335,77.29,79.25,-1.9599999999999937,MS
336,128.28,130.25,-1.9699999999999989,MDT
337,191.43,193.42,-1.9899999999999807,IT
338,119.25,121.24,-1.9899999999999949,GPC
339,323.96,325.95,-1.990000000000009,HD
340,87.48,89.49,-2.009999999999991,MU
341,141.82,143.86,-2.0400000000000205,IFF
342,103.32,105.37,-2.0500000000000114,GL
343,504.42,506.48,-2.0600000000000023,REGN
344,145.1,147.18,-2.0800000000000125,AXP
345,80.31,82.4,-2.0900000000000034,SYY
346,288.6,290.72,-2.1200000000000045,ACN
347,30.2,32.33,-2.129999999999999,DISCK
348,213.03,215.17,-2.1399999999999864,GPN
349,294.87,297.01,-2.1399999999999864,ESS
350,172.62,174.76,-2.1399999999999864,FRC
351,295.5,297.65,-2.1499999999999773,KSU
352,222.47,224.63,-2.1599999999999966,IEX
353,59.85,62.04,-2.1899999999999977,LUV
354,130.89,133.09,-2.200000000000017,AME
355,47.93,50.14,-2.210000000000001,BWA
356,163.85,166.09,-2.240000000000009,JKHY
357,107.04,109.31,-2.269999999999996,FRT
358,133.19,135.46,-2.2700000000000102,J
359,112.07,114.35,-2.280000000000001,EMN
360,396.53,398.81,-2.2800000000000296,UNH
361,92.58,94.87,-2.2900000000000063,MXIM
362,168.2,170.5,-2.3000000000000114,TT
363,258.26,260.58,-2.319999999999993,MSFT
364,62.48,64.82,-2.3399999999999963,DOW
365,79.27,81.61,-2.3400000000000034,AMD
366,371.73,374.09,-2.359999999999957,COST
367,75.13,77.49,-2.3599999999999994,DD
368,250.17,252.56,-2.390000000000015,SNPS
369,124.96,127.37,-2.410000000000011,ROST
370,234.57,236.99,-2.420000000000016,SNA
371,207.01,209.5,-2.490000000000009,FFIV
372,286.36,288.87,-2.509999999999991,ADSK
373,457.26,459.79,-2.5300000000000296,AVGO
374,241.85,244.4,-2.5500000000000114,DHR
375,198.3,200.88,-2.579999999999984,MMM
376,468.03,470.62,-2.590000000000032,MSCI
377,120.0,122.6,-2.5999999999999943,ABT
378,227.96,230.56,-2.5999999999999943,CRM
379,176.55,179.2,-2.6499999999999773,TROW
380,26.75,29.51,-2.7600000000000016,NCLH
381,220.67,223.43,-2.7600000000000193,UNP
382,141.97,144.76,-2.789999999999992,MAR
383,133.4,136.19,-2.789999999999992,QCOM
384,127.11,129.9,-2.7900000000000063,NKE
385,205.7,208.51,-2.8100000000000023,RMD
386,238.31,241.13,-2.819999999999993,STZ
387,78.45,81.28,-2.8299999999999983,LYV
388,173.81,176.65,-2.8400000000000034,WAT
389,106.97,109.84,-2.8700000000000045,CINF
390,206.86,209.76,-2.8999999999999773,ETSY
391,381.88,384.84,-2.9599999999999795,ANTM
392,144.88,147.88,-3.0,UHS
393,35.47,38.48,-3.009999999999998,DISCA
394,138.46,141.51,-3.049999999999983,ETN
395,259.98,263.07,-3.089999999999975,CMI
396,426.55,429.65,-3.099999999999966,ROP
397,284.75,287.86,-3.1100000000000136,FLT
398,155.54,158.66,-3.1200000000000045,CE
399,209.39,212.52,-3.130000000000024,STE
400,220.84,223.98,-3.1399999999999864,ECL
401,227.33,230.5,-3.1699999999999875,HON
402,119.44,122.63,-3.1899999999999977,RL
403,149.67,152.99,-3.3200000000000216,MTB
404,123.62,126.95,-3.3299999999999983,WMT
405,161.71,165.07,-3.359999999999985,CB
406,114.26,117.63,-3.3699999999999903,SPG
407,138.12,141.5,-3.3799999999999955,CTXS
408,331.88,335.27,-3.3899999999999864,GS
409,202.94,206.34,-3.4000000000000057,SWK
410,171.73,175.13,-3.4000000000000057,PNC
411,104.64,108.12,-3.480000000000004,LYB
412,89.0,92.51,-3.510000000000005,PENN
413,400.48,404.02,-3.5399999999999636,COO
414,405.37,408.95,-3.579999999999984,INTU
415,81.07,84.69,-3.6200000000000045,RCL
416,185.27,188.9,-3.6299999999999955,TXN
417,379.06,382.76,-3.6999999999999886,SPGI
418,267.24,270.96,-3.7199999999999704,SHW
419,154.47,158.29,-3.819999999999993,ADI
420,182.72,186.62,-3.9000000000000057,SWKS
421,222.86,226.82,-3.9599999999999795,ITW
422,144.86,148.83,-3.969999999999999,DOV
423,36.89,40.94,-4.049999999999997,DISH
424,284.54,288.63,-4.089999999999975,APD
425,135.04,139.18,-4.140000000000015,APTV
426,98.45,102.69,-4.239999999999995,CSX
427,267.89,272.21,-4.319999999999993,BRK.B
428,121.64,125.99,-4.349999999999994,WRB
429,219.28,223.67,-4.389999999999986,IPGP
430,89.88,94.28,-4.400000000000006,CZR
431,148.52,153.05,-4.530000000000001,ALB
432,169.0,173.57,-4.569999999999993,PPG
433,192.94,197.53,-4.590000000000003,HCA
434,263.22,267.82,-4.599999999999966,ROK
435,319.19,323.83,-4.639999999999986,VZ
436,227.63,232.46,-4.8300000000000125,CAT
437,149.73,154.65,-4.920000000000016,MCHP
438,398.39,403.33,-4.939999999999998,ILMN
439,242.38,247.33,-4.950000000000017,AMP
440,196.05,201.11,-5.060000000000002,MHK
441,128.39,133.5,-5.110000000000014,TEL
442,262.43,267.64,-5.2099999999999795,RE
443,183.95,189.21,-5.260000000000019,QRVO
444,370.27,375.6,-5.330000000000041,DE
445,138.16,143.55,-5.390000000000015,IBM
446,312.16,317.6,-5.439999999999998,PH
447,258.43,263.89,-5.4599999999999795,SYK
448,89.63,95.24,-5.609999999999999,EW
449,101.9,107.55,-5.6499999999999915,PVH
450,124.27,129.94,-5.670000000000002,TER
451,316.94,322.63,-5.689999999999998,ULTA
452,540.78,546.47,-5.690000000000055,NOW
453,170.46,176.26,-5.799999999999983,EXPE
454,382.42,388.25,-5.829999999999984,PAYC
455,446.14,451.99,-5.850000000000023,TYL
456,341.7,347.65,-5.949999999999989,CTAS
457,193.91,199.87,-5.960000000000008,AAP
458,310.74,316.75,-6.009999999999991,URI
459,628.3,634.31,-6.009999999999991,BIO
460,285.84,291.97,-6.130000000000052,LIN
461,431.86,438.28,-6.419999999999959,TFX
462,128.59,135.05,-6.460000000000008,AMAT
463,376.63,383.1,-6.470000000000027,MA
464,804.96,811.53,-6.569999999999936,BLK
465,309.53,316.42,-6.890000000000043,ANET
466,273.31,280.46,-7.149999999999977,NSC
467,193.86,201.13,-7.269999999999982,NXPI
468,344.61,351.93,-7.319999999999993,MLM
469,606.85,614.42,-7.569999999999936,NVDA
470,147.0,155.08,-8.080000000000013,ENPH
471,532.27,541.08,-8.81000000000006,IDXX
472,313.77,323.02,-9.25,GNRC
473,413.7,424.04,-10.340000000000032,GWW
474,425.64,436.01,-10.370000000000005,TDY
475,330.1,342.64,-12.539999999999964,ABMD
476,388.91,401.62,-12.70999999999998,DXCM
477,2345.0,2357.73,-12.730000000000018,BKNG
478,318.92,331.79,-12.870000000000005,KLAC
479,364.28,377.57,-13.29000000000002,MPWR
480,596.2,616.08,-19.879999999999995,ALGN
481,507.71,528.0,-20.29000000000002,SIVB
482,718.99,744.12,-25.129999999999995,TSLA
483,3334.69,3362.02,-27.329999999999927,AMZN
484,613.03,641.25,-28.220000000000027,LRCX
485,1276.91,1311.14,-34.23000000000002,MTD
486,811.11,891.38,-80.26999999999998,ISRG
